"代码","简称","公告标题","公告时间","PDF文件URL"
"002682","龙洲股份","配股提示性公告","2015-06-30","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201217991"
"002682","龙洲股份","配股提示性公告","2015-06-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201211838"
"002682","龙洲股份","配股提示性公告","2015-06-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201201284"
"002682","龙洲股份","配股提示性公告","2015-06-25","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201195544"
"002682","龙洲股份","配股提示性公告","2015-06-24","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201190566"
"300147","香雪制药","配股提示性公告","2015-06-15","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201153374"
"300147","香雪制药","配股提示性公告","2015-06-14","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201144323"
"300147","香雪制药","配股提示性公告","2015-06-11","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201138728"
"300147","香雪制药","配股提示性公告","2015-06-10","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201134040"
"300147","香雪制药","配股提示性公告","2015-06-09","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201127971"
"300147","香雪制药","配股提示性公告","2015-06-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201101118"
"002132","恒星科技","配股提示性公告","2015-04-14","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200833005"
"002132","恒星科技","配股提示性公告","2015-04-13","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200826270"
"002132","恒星科技","配股提示性公告","2015-04-12","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200810426"
"002132","恒星科技","配股提示性公告","2015-04-09","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200803573"
"002132","恒星科技","配股提示性公告","2015-04-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200799973"
"002496","辉丰股份","配股提示性公告","2015-03-19","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200717782"
"002496","辉丰股份","配股提示性公告","2015-03-18","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200713695"
"002496","辉丰股份","配股提示性公告","2015-03-17","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200709509"
"002496","辉丰股份","配股提示性公告","2015-03-16","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200704896"
"002496","辉丰股份","配股提示性公告","2015-03-15","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200697976"
"002068","黑猫股份","配股提示性公告","2015-01-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200524961"
"002068","黑猫股份","配股提示性公告","2015-01-05","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200521180"
"002068","黑猫股份","配股提示性公告","2015-01-04","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200510962"
"002068","黑猫股份","配股提示性公告","2014-12-30","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200507161"
"002068","黑猫股份","配股提示性公告","2014-12-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200504189"
"002634","棒杰股份","配股提示性公告","2014-12-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200503900"
"002634","棒杰股份","配股提示性公告","2014-12-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200500104"
"002634","棒杰股份","配股提示性公告","2014-12-25","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200495171"
"002634","棒杰股份","配股提示性公告","2014-12-24","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200492392"
"002396","星网锐捷","关于公司认购Connected公司发行可转债的补充公告","2015-09-24","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201634373"
"002396","星网锐捷","关于公司认购Connected公司发行可转债的公告","2015-09-23","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201629939"
"600755","厦门国贸","关于中国证监会就公司公开发行可转债会后事项告知函回复的公告","2015-08-12","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201429803"
"300058","蓝色光标","关于公司发行可转债申请获发审委审核通过的公告","2015-05-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201082401"
"002347","泰尔重工","民生证券股份有限公司关于公司公开发行可转债节余募集资金永久补充流动资金的核查意见","2015-04-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200931100"
"600023","浙能电力","关于浙能转债赎回结果及兑付摘牌的公告","2015-05-27","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201072964"
"600037","歌华有线","关于歌华转债赎回的公告","2015-04-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200801393"
"000425","徐工机械","关于徐工转债赎回结果暨摘牌的公告","2015-02-13","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200637258"
"000425","徐工机械","可转债赎回实施第八次公告","2015-02-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200609177"
"000425","徐工机械","可转债赎回实施第七次公告","2015-02-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200606312"
"000425","徐工机械","可转债赎回实施第六次公告","2015-02-02","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200605940"
"601318","中国平安","关于平安转债赎回结果及摘牌的公告","2015-01-12","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200539556"
"000425","徐工机械","可转债赎回实施第五次公告","2015-01-11","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200532895"
"000425","徐工机械","可转债赎回实施第四次公告","2015-01-09","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200532896"
"000425","徐工机械","可转债赎回实施第三次公告","2015-01-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200532062"
"601318","中国平安","关于实施平安转债赎回事宜的最后提示公告","2015-01-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200530563"
"000425","徐工机械","可转债赎回实施第二次公告","2015-01-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200529658"
"000425","徐工机械","可转债赎回实施公告","2015-01-07","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200527833"
"601318","中国平安","关于实施平安转债赎回事宜的第六次提示公告","2015-01-07","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200527429"
"601318","中国平安","关于实施平安转债赎回事宜的第五次提示公告","2015-01-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200525235"
"002318","久立特材","关于久立转债赎回结果的公告","2015-01-04","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200511071"
"601318","中国平安","关于实施平安转债赎回事宜的第四次提示公告","2014-12-30","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200507232"
"601318","中国平安","关于实施平安转债赎回事宜的第三次提示公告","2014-12-26","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200500001"
"601318","中国平安","关于实施平安转债赎回事宜的第二次提示公告","2014-12-25","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200495522"
"601318","中国平安","关于实施平安转债赎回事宜的第一次提示公告","2014-12-24","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200493000"
"601318","中国平安","关于实施平安转债赎回事宜的公告","2014-12-23","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200489364"
"002586","围海股份","上海市锦天城律师事务所关于公司免于提交豁免要约收购申请的专项核查意见","2015-11-05","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201755106"
"002200","云投生态","北京大成（昆明）律师事务所关于云南省投资控股集团有限公司免于提交豁免要约收购申请的专项核查意见","2015-11-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201751987"
"600522","中天科技","上海市益昌律师事务所关于中天科技集团有限公司免于提交豁免要约收购申请的法律意见书","2015-11-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201751037"
"600862","南通科技","北京市时代九和律师事务所关于公司及其一致行动人免于提交豁免要约收购申请的专项核查意见","2015-11-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201750931"
"600315","上海家化","要约收购报告书","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746723"
"600315","上海家化","要约收购报告书摘要","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746719"
"600315","上海家化","北京市博金律师事务所关于公司要约收购报告书的法律意见书","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746718"
"600315","上海家化","关于股东披露要约收购报告书暨公司股票复牌交易的提示性公告","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746712"
"600315","上海家化","关于上海太富祥尔股权投资基金合伙企业（有限合伙）拟向除（集团）有限公司及上海惠盛实业有限公司以外的股东发出部分要约收购的申报公告","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746708"
"600315","上海家化","平安证券有限责任公司关于上海太富祥尔股权投资基金合伙企业（有限合伙）要约收购联合股份有限公司之财务顾问报告","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746707"
"600422","昆药集团","云南千和律师事务所关于华方医药科技有限公司免于提交豁免要约收购申请的法律意见","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201741852"
"600422","昆药集团","东海证券股份有限公司关于华方医药科技有限公司符合免于提交豁免要约收购申请事宜之专项意见书","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201741847"
"000935","四川双马","北京市中伦律师事务所关于《四川双马水泥股份有限公司要约收购报告书》的法律意见书","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201740751"
"000935","四川双马","关于拉法基中国海外控股公司实施全面要约收购的提示性公告","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201740750"
"000935","四川双马","中信证券股份有限公司关于拉法基中国海外控股公司要约收购公司之财务顾问报告","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201740749"
"000935","四川双马","要约收购报告书","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201740748"
"601158","重庆水务","北京市中伦律师事务所关于重庆市水务资产经营有限公司及其一致行动人免于提交豁免要约收购申请的专项核查意见","2015-10-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201735402"
"600053","中江地产","关于要约收购事项的提示性公告","2015-10-23","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201719425"
"601886","江河创建","关于要约收购vision进展情况的公告","2015-10-20","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201710681"
"000960","锡业股份","云南千和律师事务所关于云南锡业集团有限责任公司和云南锡业集团（控股）有限责任公司免于提交豁免要约收购申请的法律意见","2015-10-14","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201694598"
"600891","秋林集团","北京市君泽君律师事务所关于天津嘉颐实业有限公司及其一致行动人免于提交豁免要约收购申请事宜的专项核查法律意见书","2015-10-14","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201694447"
"300064","豫金刚石","上海市锦天城律师事务所关于郭留希先生免于提交豁免要约收购申请事宜的法律意见书","2015-10-09","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201674549"
"601886","江河创建","关于要约收购vision条件达成的进展情况公告","2015-10-07","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201665005"
"002053","云南盐化","北京德恒律师事务所关于云南省能源投资集团有限公司免于提交豁免要约收购申请的法律意见","2015-09-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201655990"
"002389","南洋科技","国浩律师（杭州）事务所关于邵奕兴及其一致行动人免于提交豁免要约收购申请的专项核查法律意见书","2015-09-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201654387"
"002268","卫 士 通","关于中国电子科技网络信息安全有限公司获得中国证监会核准豁免要约收购义务批复文件的公告","2015-09-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201650901"
"002268","卫 士 通","北京市金杜律师事务所关于中国电子科技网络信息安全有限公司申请免于以要约收购方式增持公司股份之法律意见书","2015-09-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201650899"
"600053","中江地产","关于要约收购相关事项的提示性公告","2015-09-24","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201636048"
"002586","围海股份","上海市锦天城律师事务所关于浙江围海控股集团有限公司免于提交豁免要约收购申请的专项核查意见","2015-09-23","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201630774"
"000636","风华高科","关于公开要约收购光颉科技股份有限公司35%-40%股权的公告","2015-09-22","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201624409"
"900950","新城Ｂ股","关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权申报结果公告","2015-11-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201757529"
"900950","新城Ｂ股","关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权实施第四次提示性公告","2015-11-05","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201754820"
"900950","新城Ｂ股","关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权实施第三次提示性公告","2015-11-03","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201751040"
"900950","新城Ｂ股","关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权实施第二次提示性公告","2015-11-02","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201749485"
"900950","新城Ｂ股","关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权实施第一次提示性公告","2015-11-01","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201746726"
"900950","新城Ｂ股","股关于新城控股集团股份有限公司换股吸收合并江苏新城地产股份有限公司现金选择权实施公告","2015-10-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201741828"
"600704","物产中大","关于吸收合并浙江省物产集团有限公司及发行股份购买资产并募集配套资金暨关联交易异议股东现金选择权申报结果公告","2015-10-11","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201681121"
"300186","大华农","关于广东温氏食品集团股份有限公司换股吸收合并公司无需派发现金选择权的公告","2015-10-09","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201674443"
"600704","物产中大","关于吸收合并浙江省物产集团有限公司及发行股份购买资产并募集配套资金暨关联交易异议股东现金选择权申报的提示性公告","2015-10-08","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201669125"
"600704","物产中大","关于吸收合并浙江省物产集团有限公司及发行股份购买资产并募集配套资金暨关联交易异议股东现金选择权申报公告","2015-09-23","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201630537"
"600981","汇鸿股份","关于吸收合并江苏汇鸿国际集团有限公司并募集配套资金暨关联交易异议股东现金选择权申报结果公告","2015-08-02","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201381105"
"600981","汇鸿股份","关于吸收合并江苏汇鸿国际集团有限公司并募集配套资金暨关联交易异议股东现金选择权申报的提示性公告","2015-07-30","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201369254"
"600981","汇鸿股份","关于吸收合并江苏汇鸿国际集团有限公司并募集配套资金暨关联交易异议股东现金选择权申报公告","2015-07-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1201359915"
"601766","中国南车","关于本次合并A股异议股东现金选择权申报结果的公告","2015-05-10","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200992539"
"601299","中国北车","关于本次合并A股异议股东现金选择权申报结果的公告","2015-05-10","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200992528"
"600832","东方明珠","关于百视通新媒体股份有限公司换股吸收合并公司现金选择权股份清算与交割的实施结果公告","2015-05-10","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200992519"
"601268","*ST二重","关于主动终止公司股票上市现金选择权股份清算与交割结果公告","2015-05-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200974880"
"601299","中国北车","关于本次合并A股异议股东现金选择权实施提示性公告","2015-05-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200973895"
"601766","中国南车","关于本次合并A股异议股东现金选择权实施提示性公告","2015-05-06","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200973894"
"600832","东方明珠","关于百视通新媒体股份有限公司换股吸收合并上海（集团）股份有限公司现金选择权股份清算与交割的提示性公告","2015-05-05","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200969753"
"002100","天康生物","关于公司发行股份吸收合并新疆天康控股（集团）有限公司暨关联交易事项现金选择权派发及实施终止的公告","2015-05-05","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200967109"
"601268","*ST二重","主动终止公司股票上市现金选择权股份清算和交割的提示性公告","2015-05-04","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200962708"
"601268","*ST二重","关于主动终止公司股票上市现金选择权申报结果公告","2015-05-04","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200962707"
"600832","东方明珠","关于百视通新媒体股份有限公司换股吸收合并上海（集团）股份有限公司现金选择权申报结果公告","2015-05-04","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200962673"
"601268","*ST二重","关于主动终止公司股票上市现金选择权申报提示公告","2015-04-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200947894"
"600832","东方明珠","关于百视通新媒体股份有限公司换股吸收合并上海（集团）股份有限公司异议股东现金选择权申报的提示性公告","2015-04-29","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200946029"
"601299","中国北车","关于本次合并A股异议股东现金选择权实施公告","2015-04-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200934959"
"601766","中国南车","关于本次合并A股异议股东现金选择权实施公告","2015-04-28","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200934956"
"601299","中国北车","关于A股异议股东现金选择权和换股实施示意性时间安排公告","2015-04-27","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200924072"
"601766","中国南车","关于A股异议股东现金选择权和换股实施示意性时间安排公告","2015-04-27","http://www.cninfo.com.cn/cninfo-new/disclosure/szse/bulletin_detail/true/1200923677"
